"For this, make a second Storage Lectern and place it upto 30 blocks away from your \""main\"" Storage lectern.","为此，你可以制作第二个存储讲台，然后将其放置在距离“主”存储讲台30格以内的地方。"
"Make an Element Evaporator","制作元素蒸馏器"
"This &bElite Tier Installer&r gives you a whopping 7 slots of processing.","&b精英工厂安装器&r可以给你7条处理线。"
"Cryallized fissile fuel","晶体裂变燃料"
"Crafting Cake requires you to setup a proper &5Create&r Assembly line, where you will process various Materials into Batter and Icing to finally make some Cakes.","制作蛋糕需要你设置一个正确的&5机械动力&r产线，将各种材料处理成面糊和糖霜，最终制作一些蛋糕。"
"Sewage can be used in the &bSewage Composter&r to produce &6Fertilizer&r!","&b污水堆肥机&r可用于生产&6肥料&r！"
"Wireless Transmission of Power!","无线能量传输！"
"Minecraft Education Edition?","Minecraft教育版？"
"The &bArchmage Spell Book&r is the ultimate spell book, allowing access to &6Tier 3 Glyphs&r and upgrading your Mana further.","&b大法师法术书&r是最终的法术书，允许你使用&63级魔符&r，并进一步增强你的魔力。"
"Sweet Dreams are made of Seeds","甜梦由种子萌生"
"Hexerei","魔法巫师"
"Radiation is Just Spicy Air","辐射只是空气里撒点辣椒水"
"The &bRitual of Gaia&r allows you to &6summon and fight the Gaia Guardian&r, a powerful boss.","&b盖亚仪式&r让您可以&6召唤并与盖亚守护者战斗&r，一个强大的BOSS"
"Enchantments","附魔"
"Staring Contest World Champion","不眨眼大赛世界冠军"
"&bAdvanced Beehives&r can house 3 Bees, and &6has a GUI that you can open&r.","&b高级蜂箱&r可容纳3只蜜蜂，并且它&6有一个GUI，可以打开&r"
"A seedy place","一个结籽的地方"
"Get Golden Chalk","获得金粉笔"
"Sifters that are &6waterlogged&r sometimes produce alternative resources.","&6含水筛子&r有几率产生其他资源。"
"Get Soul Sand","获得灵魂沙"
"Squat no grow :(","蹲起不能催熟:("
"Obviously, higher numbers are worse. Green is safe, yellow is unsafe, orange is dangerous, and red is critical.","很显然，数字越高越坏。绿色是安全，黄色是不安全，橙色是危险，红色是临界。"
"Make an Elite Tier Installer","制作精英工厂安装器"
"&bBetter Meshes&r are integral to progression, as they unlock many necessary materials.","&b更好的筛网&r是进度不可或缺的部分，因为它们可以解锁许多必要的材料"
"Vanilla Boots","原版靴子"
"&bSettling&r is the easiest, and happens naturally over time. As you &6use the tool&r, it will gradually settle. A fully settled tool has a &6lower integrity cost&r.","&b稳固度&r的提高最简单，不仅会随着时间的推移升高，也会在你&6使用工具&r的时候增加。一个完全稳固的工具在使用时有&6更低的完整度消耗&r。"
"&bME Cables&r connect all the devices on your &eAE2&r network.","&bME线缆&r连接了所有&eAE2&r的设备"
"Working the land by hoeing Dirt near Water will create Farmland for crops.","锄水源附近的泥土可以为你的农作物开垦一片耕地。"
"4x4x4","4x4x4"
"Archwood Sapling","至高木树苗"
"Use the &6Schematic Table&r with the &6Schematic and Quill&r and copy over the mobfarm.nbt on it.","使用&6蓝图桌&r和&6蓝图与笔&r并复制mobfarm.nbt。"
"A Blaze of Glory","“红莲灿世，燃尽苍穹”"
"This &bManasteel Sword&r does have the benefit, that it can easily be repaired with Mana","这把&b魔力钢剑&r确实有其好处，它可以轻松用魔力修复"
"Crushed Netherrack → Andesite Mesh","粉碎下界岩 → 安山合金筛网"
"When attached to an inventory, Bookwyrms will NOT place these items into the inventory.","固定到容器时，书龙就不会输入卷轴上的物品。"
"&bPhenolic Resin&r was effectivly the first Plastic to be sold commercially.","&b酚醛树脂&r是第一种商业化销售的塑料"
"which can be enhanced with a &6Force Infuser&r. If you craft a &bForce Sword&r you get the Infuser for free","可以使用&6力量灌注台&r强化。如果你制作了&b力量剑&r，你可以免费得到灌注台"
"Modded Leggings","模组护腿"
"These will have multiple Tiers and can accept multiple tiers of Fuel. Combination of the best possible available is Key to get the most Stress Units.","它们有多个等级，并且可以接受多个等级的燃料。二者的最佳组合是获得最大应力的关键。"
"The &bFire Furnace&r utilizes the fire element to &6smelt items&r at an accelerated rate.","&b火元素熔炉&r利用火元素加速&6物品熔炼&r"
"To have a &bWater Pool&f in your &bSpace Station&f ","在你的&b空间站&r上搭一个&b水池&r"
"The &bSocket Sigil&r is a magic tool that allows me to &6add Gem Sockets to tools&r.","&b镶孔符石&r是一种允许&6将宝石镶到工具上&r的魔法工具。"
"Powah!","抛瓦！！"
"If the air pressure in a machine or tube is higher than it can support the &cmachine will explode&r!","如果机器或管道中的气压高于其所能承受的气压，则&c机器会爆炸&r！"
"&cFlame&r - Apply Flame Damage on Contact","&c火焰&r——使上方生物持续着火"
"In &6Bag&r mode, it works like a backpack. Tap control on a slot to lock it, so it doesn't get replaced when emptied.","在&6包裹&r模式下，它就像一个背包。Ctrl点击可标记物品并锁定槽"
"• Reactor meltdown\\n• Reactor running while full of Waste\\n• Breaking any block containing radioactive materials","• 反应堆熔毁\\n• 反应堆在核废料满的时候运行\\n• 破坏任何含有放射性物质的方块"
"In addition, some of the higher tier foods will &6grant you buffs&r when eaten!","此外，食用一些更高级的食物时还会&6给予增益效果&r！"
"The &bBlast Chiller&r &6freezes fluids into blocks&r.","&b急速冷冻机&r&6将流体凝固成方块&r。"
"They can be upgraded in the same way Drawers can.","它们与抽屉一样可以升级。"
"&7Void Anvil&r - Strips your items of their Enchants and returns some liquid EXP","&7虚空铁砧&r——清除物品的附魔，并返还一些经验"
"Craft the Millstone","制作石磨"
"The taller the multiblock, the faster it will work. Also, you can add &6Solar Panels&r on top, or an &6RTG Generator&r with heat piping into a Valve to increase the speed even further.","多方块结构越高，它工作就越快。此外，你可以在顶部添加&6太阳能电池板&r，或者在阀门上添加&6放射性同位素电热机&r，以进一步提高速度。"
"&dFTB Skies&r comes with &eOculus&r, a mod which allows you to use &6shaders&r!","&dFTB Skies&r包含&eOculus&r， 一个允许你使用&6光影&r的模组！"
"Obsidian Dreams","黑曜石之梦"
"Ava-whonow?","自动合成"
"Feeding your &bLoot Fabricator&r with &6Mob Predictions&r will yield you all kinds of Loot","将&6预测产物&r投入&b战利品制造器&r将生成各种战利品"
"Make a Brass Funnel","制作黄铜漏斗"
"The &bRunic Altar&r is one of the first blocks crafted with the Miniaturization Crafting. Consult JEI on how to place the blocks and toss a Mana Diamond to initiate the craft.","&b符文祭坛&r是最早需要使用微缩合成制作的方块之一。请查看JEI如何放置方块，并丢入魔力钻石启动制作"
"Laser Bases","镭射钻基座"
"&bArmor Threads&r are basically &6upgrades&r to your magical armor. They are applied on the &bAlteration Table&r.","&bA护甲纤维&r是你的魔法护甲的基本&6升级&r。其可以在&b改衣台&r中加装。"
"Bigger on the inside","小身体大容量"
"Dancing around your trees &cdoesn't seem to encourage growth&r, contrary to all standard botanical knowledge.","在你的树周围跳舞&c似乎不会帮助生长&r，这与所有标准mc植物学知识相违背。"
"Macrowave","宏波炉"
"Dapper!","非常时髦！"
"The &bSimple Machine Frame&r allows you to craft more complex machines.","&b中级机器框架&r允许你制作更复杂的机器"
"Completing either task will complete the task.","完成任意一个都会完成任务"
"What A Tangled Web","多棒的缠绕网"
"The microfusion extrapolator is a more efficient way to make nuclear fuels. Utilizing radiation in the surrounding area it can purify the environment while conentrating the nuclear radiation back into as fissile atomic structure from lead. ","微聚变外推器是一种更有效的制造核燃料的装置。它可以净化周围环境的辐射，同时将核辐射浓缩进铅，成为可裂变的原子结构。"
"Too cool","泰裤辣！"
"&bThermal Cells&r can be installed on two sides of the Forge Hammer to &6power it&r, allowing for higher tier tools and weapons.","&b热力单元&r可以安装在锻造锤两侧，只要&6给热力单元充能&r，就可以制作更高等级的工具和武器。"
"You get &bSoul Sand&r by throwing Sand into the &6Spiritfire&r!","将沙子扔进&6灵火&r获得&b灵魂沙&r！"
"&bPedestals&r are highly versatile magical devices. They can &6move items, fluids, and energy wirelessly&r, place and break blocks, &6from crops and animals&r, and more.","&b基座&r是用途极为广泛的魔法装置。它可以&6无线传输物品、流体和能量&r，放置和破坏方块，&6种植作物和繁殖动物&r…"
"I'm stuck on you","你让我蠢蠢欲动"
"Placable Food","可放置食物"
"Magic Armor","魔法护甲"
"You can teleport back to your party's island using the &6/ftbdim home&r command, and visit others with &6/tpa&r.","你可以使用 &6/ftbdim home&r指令将你传送回你队伍的岛屿， 用&6/tpa&r拜访其他人。"
"Ethanol","乙醇"
"• &6Inserting&r - what goes into the Pedestal","• &6输入&r——基座输入"
"[\""\"",{\""text\"":\""[ Click here ]\"",\""color\"":\""gold\"",\""clickEvent\"":{\""action\"":\""run_command\"",\""value\"":\""/create ponder minecraft:soul_sand\""},\""hoverEvent\"":{\""action\"":\""show_text\"",\""contents\"":[\""Show me the Ponder\""]}},\"" to check out the Soul Engulfing Ponder\""]","[\""\"",{\""text\"":\""[ 点击这里 ]\"",\""color\"":\""gold\"",\""clickEvent\"":{\""action\"":\""run_command\"",\""value\"":\""/create ponder minecraft:soul_sand\""},\""hoverEvent\"":{\""action\"":\""show_text\"",\""contents\"":[\""开始思索\""]}},\"" 以查看灵魂吞噬思索\""]"
"Shrine Upgrades","神龛升级"
"Liquid Fire","液体火焰"
"Keep Firing!","保持射击！"
"The &bAnnotated Codex&r will allow you to share any glyphs you've learned in Ars Nouveau with your friends.","&b注解手抄本&r允许你与朋友分享你在新生魔艺中学习的魔符。"
"Make an Advanced Tier Installer","制作高级工厂安装器"
"Any Flower","任意花朵"
"Many only work on a specific Shrine; see the &6Elementopedia&r for a list of each.","许多只对特定神龛起作用；查阅&6元素百科&r以获取每种类型的列表"
"The &bCoke Oven&r turns coal into coked coal which is suitable for creating steel or burning as longer lasting fuel. You can accelerate this process by using a pyrolyzer later once you have produced some steel and circuits. ","&b焦炉&r将煤炭变成焦煤，适合制作钢或作为长时间的燃料。做出一些钢和电路后，你就可以用热解炉加速这一过程。"
